name,csv_height,csv_weight,csv_reach,csv_stance,csv_dob,wiki_matched,wiki_url,match_reason,wiki_name,wiki_birth_name,wiki_birth_date,wiki_birth_place,wiki_nationality,wiki_height,wiki_weight,wiki_weight_class,wiki_reach_in,wiki_stance,wiki_style,wiki_team,wiki_trainer,wiki_rank,wiki_years_active,wiki_fighting_out_of,wiki_mma_kowin,wiki_mma_subwin,wiki_mma_decwin,wiki_mma_koloss,wiki_mma_subloss,wiki_mma_decloss,wiki_mma_draw,wiki_mma_nc,wiki_sherdog,wiki_title,wiki_height_imperial,wiki_height_cm,wiki_weight_lb,wiki_weight_kg,wiki_reach_cm,wiki_other_names,wiki_reach,wiki_mma_dqwin,wiki_mma_dqloss,wiki_residence,wiki_height_ft,wiki_height_in,height_final,weight_final,reach_final,stance_final,dob_final
Tom Aaron,--,155 lbs.,--,,"Jul 13, 1978",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,155 lbs.,--,,"Jul 13, 1978"
Danny Abbadi,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983"
Nariman Abbasov,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994"
Darion Abbey,"6' 2""",265 lbs.,"80""",Orthodox,"Feb 25, 1993",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",265 lbs.,"80""",Orthodox,"Feb 25, 1993"
David Abbott,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965"
Hamdy Abdelwahab,"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993"
Mansur Abdul-Malik,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997"
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",True,https://en.wikipedia.org/wiki/Shamil_Abdurakhimov,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Shamil AbdurakhimovШамиль Абдурахимов,,,"Makhachkala, Dagestan ASSR, Russian SFSR, Soviet Union",Russian,,,Heavyweight,,,"Wushu Sanda, Freestyle Wrestling, Kickboxing",Fighting Eagle,Kickboxing: Magomed Magomedov,National Master of Sports in Wushu Sanda International Master of Sports in Kickboxing,2008—2023,"Makhachkala, Dagestan, Russia",9,4,7,6,1,1,,,26808,Shamil Abdurakhimov,,,,,,,,,,,,,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981"
Hiroyuki Abe,"5' 6""",145 lbs.,--,Orthodox,--,False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 6""",145 lbs.,--,Orthodox,--
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",True,https://en.wikipedia.org/wiki/Daichi_Abe,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Daichi Abe,,,"Niigata Prefecture, Japan",,,,MiddleweightWelterweightLightweight,,,,HMC Japan,,Black belt in Judo,2011–present,"Tokyo, Japan",8,1,6,3,5,3,,,191861,Daichi Abe,,,,,,Daichi Zelos,,,,,,,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991"
