name,profile_url,weight_class,wins,losses,draws,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,rank
Tom,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,--,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Danny,http://ufcstats.com/fighter-details/15df64c02b6b0fde,--,4,6,0,3.29,38.0,4.41,57.0,0.0,0.0,77.0,0.0,
Nariman,http://ufcstats.com/fighter-details/59a9d6dac61c2540,"66.0""",28,4,0,3.0,20.0,5.67,46.0,0.0,0.0,66.0,0.0,
Darion,http://ufcstats.com/fighter-details/4961467134abd8be,"80.0""",9,5,0,8.44,50.0,14.06,28.0,0.0,0.0,0.0,0.0,
David,http://ufcstats.com/fighter-details/b361180739bed4b0,--,10,15,0,1.35,30.0,3.55,38.0,1.07,33.0,66.0,0.0,
Hamdy,http://ufcstats.com/fighter-details/3329d692aea4dc28,"72.0""",7,1,0,4.27,55.0,3.67,51.0,3.25,65.0,100.0,0.0,
Farida,http://ufcstats.com/fighter-details/8f3837b4c06f3d1e,--,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mansur,http://ufcstats.com/fighter-details/841695e02c99a521,"80.0""",9,1,1,3.28,44.0,4.49,46.0,1.65,41.0,83.0,0.3,
Shamil,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,"76.0""",20,8,0,2.41,44.0,3.02,55.0,1.01,23.0,45.0,0.1,
Hiroyuki,http://ufcstats.com/fighter-details/c0ed7b208197e8de,--,8,15,3,1.71,36.0,3.11,63.0,0.0,0.0,33.0,0.0,
Daichi,http://ufcstats.com/fighter-details/5140122c3eecd307,"71.0""",6,2,0,3.8,33.0,4.49,56.0,0.33,50.0,0.0,0.0,
Papy,http://ufcstats.com/fighter-details/c9f6385af6df66d7,--,10,4,0,2.8,55.0,3.15,48.0,3.47,57.0,50.0,1.3,
Ricardo,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,--,5,1,0,3.79,31.0,3.98,68.0,2.13,42.0,100.0,0.7,
Klidson,http://ufcstats.com/fighter-details/7279654c7674cd24,"74.0""",15,4,0,2.05,40.0,2.9,55.0,0.64,20.0,80.0,0.0,
Cyborg,http://ufcstats.com/fighter-details/f689bd7bbd14b392,--,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Daniel,http://ufcstats.com/fighter-details/1c5879330d42255f,--,30,18,0,3.52,36.0,2.85,62.0,0.33,20.0,81.0,0.0,
John,http://ufcstats.com/fighter-details/989b85f6540c86b1,"75.0""",6,2,0,3.9,52.0,6.28,44.0,0.0,0.0,0.0,0.0,
Scott,http://ufcstats.com/fighter-details/2620f3eb21c79614,--,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Juan,http://ufcstats.com/fighter-details/83b00f7597e5ac83,"80.0""",5,3,0,7.09,55.0,4.06,34.0,0.91,66.0,57.0,0.0,
Anthony,http://ufcstats.com/fighter-details/a77633a989013265,"76.0""",8,2,0,3.17,41.0,5.93,44.0,0.0,0.0,0.0,0.0,
Zarrukh,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,"65.0""",4,4,0,3.65,40.0,3.04,64.0,0.0,0.0,100.0,0.5,
Israel,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,"80.0""",24,6,0,4.03,48.0,3.22,55.0,0.05,9.0,76.0,0.1,
